Case,Algorithm,Cost,Expanded,Time
easy_1,BFS,273,386,0.0
easy_1,UCS,273,390,0.005204
easy_1,GBFS-Manhattan,273,19,0.0
easy_1,GBFS-Landmark,285,35,0.001012
easy_1,A*-Manhattan,273,704,0.0
easy_1,A*-Landmark,273,704,0.008434
easy_2,BFS,104,127,0.0
easy_2,UCS,104,127,0.0
easy_2,GBFS-Manhattan,104,15,0.0
easy_2,GBFS-Landmark,106,26,0.0
easy_2,A*-Manhattan,104,224,0.0
easy_2,A*-Landmark,104,224,0.0
medium_1,BFS,1937,3526,0.035929
medium_1,UCS,1657,3115,0.027391
medium_1,GBFS-Manhattan,1937,67,0.0
medium_1,GBFS-Landmark,1779,324,0.0
medium_1,A*-Manhattan,1657,5832,0.097074
medium_1,A*-Landmark,1657,5832,0.072256
medium_2,BFS,678,1257,0.0
medium_2,UCS,678,1453,0.020866
medium_2,GBFS-Manhattan,678,39,0.003982
medium_2,GBFS-Landmark,860,91,0.0
medium_2,A*-Manhattan,678,2660,0.036688
medium_2,A*-Landmark,678,2660,0.02457
hard_1,BFS,6718,35303,0.394283
hard_1,UCS,6358,25264,0.43545
hard_1,GBFS-Manhattan,9200,490,0.0
hard_1,GBFS-Landmark,10660,805,0.034133
hard_1,A*-Manhattan,6358,48942,0.851539
hard_1,A*-Landmark,6358,48944,0.865446
hard_2,BFS,inf,3645,0.037222
hard_2,UCS,inf,3444,0.04492
hard_2,GBFS-Manhattan,inf,34648,0.551094
hard_2,GBFS-Landmark,inf,6856,0.188204
hard_2,A*-Manhattan,inf,6488,0.16686
hard_2,A*-Landmark,inf,6488,0.09933
energy_1,BFS,778,584,0.010328
energy_1,UCS,778,446,0.010022
energy_1,GBFS-Manhattan,778,29,0.0
energy_1,GBFS-Landmark,788,55,0.005177
energy_1,A*-Manhattan,778,834,0.0
energy_1,A*-Landmark,778,834,0.010849
energy_2,BFS,596,1649,0.033418
energy_2,UCS,596,1088,0.030986
energy_2,GBFS-Manhattan,596,39,0.005592
energy_2,GBFS-Landmark,694,96,0.002007
energy_2,A*-Manhattan,596,2026,0.022119
energy_2,A*-Landmark,596,2038,0.030025
